"Region","Size","Cores","MemoryGB"
"francecentral","Standard_F2s_v2","2","4"
"francecentral","Standard_D2ls_v5","2","4"
"francecentral","Standard_D2lds_v5","2","4"
"francecentral","Standard_B2ls_v2","2","4"
"francecentral","Standard_D2als_v7","2","4"
"francecentral","Standard_D2alds_v7","2","4"
"francecentral","Standard_F2als_v7","2","4"
"francecentral","Standard_F2alds_v7","2","4"
"francecentral","Standard_D2plds_v5","2","4"
"francecentral","Standard_D2pls_v5","2","4"
"francecentral","Standard_B2pls_v2","2","4"
"germanywestcentral","Basic_A2","2","3.5"
"germanywestcentral","Standard_A2","2","3.5"
"germanywestcentral","Standard_F2","2","4"
"germanywestcentral","Standard_F2s","2","4"
"germanywestcentral","Standard_A2_v2","2","4"
"germanywestcentral","Standard_B2s","2","4"
"germanywestcentral","Standard_F2s_v2","2","4"
"germanywestcentral","Standard_D2ls_v5","2","4"
"germanywestcentral","Standard_D2lds_v5","2","4"
"germanywestcentral","Standard_D2plds_v5","2","4"
"germanywestcentral","Standard_D2pls_v5","2","4"
"germanywestcentral","Standard_B2pls_v2","2","4"
"germanywestcentral","Standard_B2ls_v2","2","4"
"germanywestcentral","Standard_B2als_v2","2","4"
"germanywestcentral","Standard_D2alds_v6","2","4"
"germanywestcentral","Standard_D2als_v6","2","4"
"germanywestcentral","Standard_D2pls_v6","2","4"
"germanywestcentral","Standard_D2plds_v6","2","4"
"germanywestcentral","Standard_D2ls_v6","2","4"
"germanywestcentral","Standard_D2lds_v6","2","4"
"germanywestcentral","Standard_F2als_v6","2","4"
"germanywestcentral","Standard_D2als_v7","2","4"
"germanywestcentral","Standard_D2alds_v7","2","4"
"germanywestcentral","Standard_F2als_v7","2","4"
"germanywestcentral","Standard_F2alds_v7","2","4"
"germanywestcentral","Standard_D2ls_v7","2","4"
"germanywestcentral","Standard_D2lds_v7","2","4"
"italynorth","Standard_D2als_v7","2","4"
"italynorth","Standard_D2alds_v7","2","4"
"italynorth","Standard_F2als_v7","2","4"
"italynorth","Standard_F2alds_v7","2","4"
"italynorth","Standard_D2pls_v6","2","4"
"italynorth","Standard_D2plds_v6","2","4"
"italynorth","Standard_A2_v2","2","4"
"italynorth","Standard_B2s","2","4"
"italynorth","Standard_F2","2","4"
"italynorth","Standard_F2s","2","4"
"italynorth","Standard_F2s_v2","2","4"
"italynorth","Standard_D2ls_v5","2","4"
"italynorth","Standard_D2lds_v5","2","4"
"italynorth","Standard_B2ls_v2","2","4"
"italynorth","Standard_D2ls_v6","2","4"
"italynorth","Standard_D2lds_v6","2","4"
"italynorth","Standard_B2als_v2","2","4"
"italynorth","Standard_D2als_v6","2","4"
"italynorth","Standard_D2alds_v6","2","4"
"italynorth","Standard_F2als_v6","2","4"
"norwayeast","Standard_B2als_v2","2","4"
"norwayeast","Standard_B2s","2","4"
"norwayeast","Standard_F2","2","4"
"norwayeast","Standard_F2s","2","4"
"norwayeast","Standard_A2_v2","2","4"
"norwayeast","Standard_F2s_v2","2","4"
"norwayeast","Standard_D2ls_v5","2","4"
"norwayeast","Standard_D2lds_v5","2","4"
"norwayeast","Standard_B2ls_v2","2","4"
"norwayeast","Standard_D2ls_v6","2","4"
"norwayeast","Standard_D2als_v6","2","4"
"norwayeast","Standard_D2alds_v6","2","4"
"norwayeast","Standard_F2als_v6","2","4"
"norwayeast","Standard_D2lds_v6","2","4"
"norwayeast","Standard_D2pls_v6","2","4"
"norwayeast","Standard_D2plds_v6","2","4"
"polandcentral","Standard_D2pls_v6","2","4"
"polandcentral","Standard_D2plds_v6","2","4"
"polandcentral","Standard_D2ls_v5","2","4"
"polandcentral","Standard_D2lds_v5","2","4"
"polandcentral","Standard_D2ls_v6","2","4"
"polandcentral","Standard_D2lds_v6","2","4"
"polandcentral","Standard_D2als_v6","2","4"
"polandcentral","Standard_D2alds_v6","2","4"
"polandcentral","Standard_F2als_v6","2","4"
"polandcentral","Standard_A2_v2","2","4"
"polandcentral","Standard_B2s","2","4"
"polandcentral","Standard_F2","2","4"
"polandcentral","Standard_F2s","2","4"
"polandcentral","Standard_F2s_v2","2","4"
"polandcentral","Standard_B2ls_v2","2","4"
"polandcentral","Standard_B2als_v2","2","4"
"polandcentral","Standard_D2als_v7","2","4"
"polandcentral","Standard_D2alds_v7","2","4"
"polandcentral","Standard_F2als_v7","2","4"
"polandcentral","Standard_F2alds_v7","2","4"
"spaincentral","Standard_D2als_v6","2","4"
"spaincentral","Standard_D2alds_v6","2","4"
"spaincentral","Standard_F2als_v6","2","4"
"spaincentral","Standard_A2_v2","2","4"
"spaincentral","Standard_B2s","2","4"
"spaincentral","Standard_F2","2","4"
"spaincentral","Standard_F2s","2","4"
"spaincentral","Standard_F2s_v2","2","4"
"spaincentral","Standard_D2ls_v5","2","4"
"spaincentral","Standard_D2lds_v5","2","4"
"spaincentral","Standard_B2ls_v2","2","4"
"spaincentral","Standard_D2pls_v6","2","4"
"spaincentral","Standard_D2plds_v6","2","4"
"spaincentral","Standard_B2als_v2","2","4"
"spaincentral","Standard_D2ls_v6","2","4"
"spaincentral","Standard_D2lds_v6","2","4"
"switzerlandnorth","Standard_D2ls_v6","2","4"
"switzerlandnorth","Standard_D2lds_v6","2","4"
"switzerlandnorth","Standard_A2_v2","2","4"
"switzerlandnorth","Standard_B2s","2","4"
"switzerlandnorth","Standard_F2","2","4"
"switzerlandnorth","Standard_F2s","2","4"
"switzerlandnorth","Standard_F2s_v2","2","4"
"switzerlandnorth","Standard_D2ls_v5","2","4"
"switzerlandnorth","Standard_D2lds_v5","2","4"
"switzerlandnorth","Standard_B2ls_v2","2","4"
"switzerlandnorth","Standard_B2als_v2","2","4"
"switzerlandnorth","Standard_D2pls_v6","2","4"
"switzerlandnorth","Standard_D2plds_v6","2","4"
"switzerlandnorth","Standard_D2als_v6","2","4"
"switzerlandnorth","Standard_D2alds_v6","2","4"
"switzerlandnorth","Standard_F2als_v6","2","4"
